testId,tenantId,profileId,recordingId,modifiedDateUtc,recordedDateUtc,recordedDateOffset,recordedDateTimezone,analysedDateUtc,analysedDateOffset,analysedDateTimezone,testType,weight,extendedParameters,attributes,parameter,notes,tenant_id
bf7a56cd-b7d1-495f-9e2b-c74804a37d76,f1185650-fb79-44a0-8b4b-b2bf82d28c83,67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,b0ca8c1d-c7f5-49b1-beaf-1a2560e2f0c1,2023-01-02 15:14:47.076000+00:00,2023-01-02 15:13:51.309000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-02 15:14:10.782000+00:00,1969-12-31 23:59:59.999999820,-03,SJ,99.51,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
9a125df2-62c1-4d7d-8fd9-2c6950a5cb7d,f1185650-fb79-44a0-8b4b-b2bf82d28c83,67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,680a11c9-39c5-4d02-b109-9e4b243fcc92,2023-01-02 15:15:41.134000+00:00,2023-01-02 15:14:58.476000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-02 15:15:13.962000+00:00,1969-12-31 23:59:59.999999820,-03,CMJ,99.53,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
1c031691-43fe-4ee1-a632-4d2a52372a64,f1185650-fb79-44a0-8b4b-b2bf82d28c83,67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,a330ef3e-232e-4d0b-a2bc-29100a800088,2023-01-02 16:32:59.988000+00:00,2023-01-02 16:17:15.086000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-02 16:17:28.631000+00:00,1969-12-31 23:59:59.999999820,-03,SJ,99.79,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
08c38086-7db9-4a0a-877d-cb364601a9d0,f1185650-fb79-44a0-8b4b-b2bf82d28c83,67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,f29c4932-0cec-4bbd-b869-b11eba17d3eb,2023-01-02 21:57:19.532000+00:00,2023-01-02 21:56:06.855000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-02 21:56:21.485000+00:00,1969-12-31 23:59:59.999999820,-03,SQT,100.12,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
162d9367-4881-43fe-9e03-f7dc1559e76b,f1185650-fb79-44a0-8b4b-b2bf82d28c83,67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,4a39b74f-cad7-473f-8fcb-06db900a1b06,2023-01-02 21:58:46.401000+00:00,2023-01-02 21:58:07.616000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-02 21:58:23.120000+00:00,1969-12-31 23:59:59.999999820,-03,SQT,100.13,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
a540017b-caf4-4d4e-98c3-ce25d28d8efc,f1185650-fb79-44a0-8b4b-b2bf82d28c83,9cd86ccc-5359-4737-a6af-5216f9e8059a,cfbc6d9d-6e9e-472c-98d6-c6f94572d222,2023-01-03 21:40:53.406000+00:00,2023-01-03 21:39:28.519000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-03 21:39:55.380000+00:00,1969-12-31 23:59:59.999999820,-03,CMJ,92.14,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
c23a6117-9927-4184-b851-afca5fe02b46,f1185650-fb79-44a0-8b4b-b2bf82d28c83,87e1c618-62b0-4a8a-82f0-c219de4ea11e,062e7ffb-faf2-4689-94ba-b701a9fcc95f,2023-01-04 00:59:08.051000+00:00,2023-01-04 00:57:16.606000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-04 00:57:35.109000+00:00,1969-12-31 23:59:59.999999820,-03,SLSB,0.0,"[{'resultId': 655382, 'value': 0}, {'resultId': 655383, 'value': 0}, {'resultId': 655384, 'value': 0}]",[],"{'resultId': 655381, 'value': 15}",,f1185650-fb79-44a0-8b4b-b2bf82d28c83
2b161cd6-e6cf-4866-9fd9-740b8826a154,f1185650-fb79-44a0-8b4b-b2bf82d28c83,87e1c618-62b0-4a8a-82f0-c219de4ea11e,8c189724-5870-4e4f-8980-c888ce83874f,2023-01-04 01:00:16.839000+00:00,2023-01-04 00:59:36.685000+00:00,1969-12-31 23:59:59.999999820,-03,2023-01-04 00:59:49.064000+00:00,1969-12-31 23:59:59.999999820,-03,SQT,56.34,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
6418ea0a-99aa-420f-92eb-dd18e0bb8614,f1185650-fb79-44a0-8b4b-b2bf82d28c83,1b43cb76-9be4-489f-a10c-c0fe58937649,ae392ccc-f81e-4261-9598-059f01974773,2023-01-10 04:02:40.694000+00:00,2023-01-10 04:01:27.745000+00:00,1970-01-01 00:00:00.000000600,AEST,2023-01-10 04:01:44.818000+00:00,1970-01-01 00:00:00.000000600,AEST,CMJ,65.39,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f7d0a7bb-8998-433f-8383-02206ae33896,f1185650-fb79-44a0-8b4b-b2bf82d28c83,1b43cb76-9be4-489f-a10c-c0fe58937649,718fad96-960d-4030-ba17-1fcc20f03883,2023-01-10 04:03:57.758000+00:00,2023-01-10 04:03:13.030000+00:00,1970-01-01 00:00:00.000000600,AEST,2023-01-10 04:03:25.605000+00:00,1970-01-01 00:00:00.000000600,AEST,SQT,65.32,[],[],,,f1185650-fb79-44a0-8b4b-b2bf82d28c83
